# BJD           FLUX       E_FLUX    
  8482.203632   0.999429   0.001629  
  8482.224445   1.005137   0.001632  
  8482.245319   0.999894   0.001631  
  8482.266133   1.002378   0.001631  
  8482.286946   1.001622   0.001631  
  8482.30782    1.008647   0.001634  
  8482.328633   0.999844   0.00163   
  8482.349446   0.986248   0.001623  
  8482.37032    0.979948   0.001619  
  8482.391133   0.973656   0.001618  
  8482.411946   0.965737   0.001612  
  8482.43282    0.959229   0.001611  
  8482.453633   0.958002   0.001608  
  8482.474446   0.936032   0.001597  
  8482.49532    0.784604   0.00152   
  8482.516133   0.666329   0.001455  
  8482.536946   0.796889   0.001526  
  8482.55782    0.94098    0.0016    
  8482.578633   0.955896   0.001613  
  8482.599446   0.967443   0.001613  
  8482.62032    0.972881   0.001617  
  8482.641133   0.97894    0.001621  
  8482.661946   0.982657   0.00162   
  8482.682821   0.988595   0.001624  
  8482.703634   0.992938   0.001627  
  8482.724447   0.994461   0.001628  
  8482.745321   0.994714   0.001627  
  8482.766134   0.998022   0.001629  
  8482.786947   0.998208   0.001629  
  8482.80776    1.000945   0.001629  
  8482.828573   1.001113   0.001629  
  8482.849447   0.999184   0.001628  
  8482.87026    0.998097   0.001628  
  8482.891073   0.995245   0.001628  
  8482.911947   0.962754   0.001611  
  8482.93276    0.851294   0.001555  
  8482.953573   0.831615   0.001545  
  8482.974447   0.942929   0.001603  
  8482.99526    0.996355   0.001627  
  8483.016073   0.998876   0.001628  
  8483.036947   1.00311    0.00163   
  8483.05776    1.000651   0.001636  
  8483.078573   1.005317   0.001631  
  8483.099447   1.005113   0.001631  
  8483.12026    0.998723   0.001628  
  8483.141074   0.998637   0.001627  
  8483.161948   0.99519    0.001626  
  8483.182761   0.993517   0.001625  
  8483.203574   0.991327   0.001625  
  8483.224448   0.98595    0.00162   
  8483.245261   0.980028   0.001616  
  8483.266074   0.973875   0.001614  
  8483.286948   0.962309   0.001608  
  8483.307761   0.953249   0.001604  
  8483.328574   0.950804   0.001602  
  8483.349448   0.833879   0.001544  
  8483.370261   0.673332   0.001458  
  8483.391074   0.752982   0.001505  
  8483.411949   0.925344   0.001593  
  8483.432762   0.957261   0.001604  
  8483.453575   0.963144   0.001608  
  8483.474449   0.966418   0.001611  
  8483.495262   0.976538   0.001615  
  8483.516075   0.984423   0.001618  
  8483.536949   0.988665   0.001622  
  8483.557762   0.992524   0.001622  
  8483.578575   0.996755   0.001623  
  8483.599449   0.997755   0.001623  
  8483.620262   0.993083   0.001622  
  8483.641075   0.998056   0.001625  
  8483.661949   0.998018   0.001625  
  8483.682762   0.999267   0.001625  
  8483.703575   1.00262    0.001627  
  8483.724449   1.000701   0.001625  
  8483.745262   0.996907   0.001624  
  8483.766075   0.981515   0.001619  
  8483.78695    0.869302   0.001562  
  8483.807763   0.823798   0.001538  
  8483.828576   0.914901   0.001583  
  8483.84945    0.994973   0.001622  
  8483.870263   1.002236   0.001626  
  8483.891076   0.998669   0.001625  
  8483.91195    1.003633   0.001627  
  8483.932763   1.00241    0.001625  
  8483.953576   1.004813   0.001627  
  8483.97445    1.005186   0.001627  
  8483.995263   1.002373   0.001626  
  8484.016076   0.999273   0.001624  
  8484.03695    0.995364   0.001622  
  8484.057763   0.991749   0.001621  
  8484.078576   0.981681   0.001616  
  8484.099451   0.980425   0.001615  
  8484.120264   0.972572   0.001612  
  8484.141077   0.965861   0.001609  
  8484.161951   0.95577    0.001605  
  8484.182764   0.954436   0.001602  
  8484.203577   0.87912    0.001564  
  8484.224451   0.692855   0.001467  
  8484.245264   0.715484   0.001479  
  8484.266077   0.895772   0.001573  
  8484.286951   0.957958   0.001605  
  8484.307764   0.962219   0.001609  
  8484.328578   0.968251   0.00161   
  8484.349452   0.973747   0.001612  
  8484.370265   0.978074   0.001614  
  8484.391078   0.987431   0.001619  
  8484.432765   0.995456   0.001625  
  8484.453578   0.999111   0.001626  
  8484.474452   0.99957    0.001628  
  8484.495265   0.996014   0.001625  
  8484.516078   0.9968     0.001629  
  8484.536952   0.998387   0.001628  
  8484.557765   1.001836   0.001629  
  8484.578579   0.999381   0.001627  
  8484.599453   1.002545   0.001628  
  8484.620266   0.992873   0.001623  
  8484.641079   0.901503   0.001578  
  8484.661953   0.822232   0.001537  
  8484.682766   0.885329   0.00157   
  8484.703579   0.986333   0.001619  
  8484.724392   0.993727   0.001624  
  8484.745205   1.000264   0.001628  
  8484.766079   1.005061   0.001629  
  8484.786892   1.002455   0.00163   
  8484.807705   1.002836   0.001628  
  8484.828579   0.999622   0.001626  
  8484.849392   1.000454   0.001627  
  8484.870205   0.997446   0.001625  
  8484.891079   0.996983   0.001624  
  8484.911893   0.989176   0.001623  
  8484.932706   0.984511   0.001622  
  8484.95358    0.981097   0.001617  
